verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
4041407000008;Haushalt;2.5;13.52;7.26;23.28;2.5;13.52;24.41;40.43;7.46;0;WAHR
4042805000102;Haushalt;1.78;10.16;6.06;18;1.78;10.16;18.86;30.8;6.28;47.58;FALSCH
4042805001208;Haushalt;1.78;10.16;6.06;18;1.78;10.16;18.86;30.8;5.6;32.94;FALSCH
4043581000010;Haushalt;3.31;11;8.67;22.98;3.31;11;30.47;44.78;5.18;25;FALSCH
4045458000000;Haushalt;1.62;10.68;9.46;21.76;1.62;10.68;22.73;35.03;4.87;43.92;FALSCH
4260016040117;Haushalt;1.75;12.69;9.59;24.03;1.75;12.69;22.3;36.74;5.36;25;FALSCH
4260154980016;Haushalt;5.81;8.23;10.46;24.5;8.93;8.92;20.92;38.77;4.04;13;FALSCH
4399901729759;Haushalt;3.12;8;4.79;15.91;3.12;8;11.04;22.16;5.38;20;FALSCH
9900001000002;Haushalt;4.92;12.12;10.92;27.96;7.32;12.72;36.84;56.88;5.2;33;FALSCH
9900003000000;Haushalt;5;13;10;28;8;13;35;56;4.78;24;FALSCH
9900004000009;Haushalt;1.61;6.6;5.33;13.54;1.61;6.6;10.76;18.97;5.23;30;FALSCH
9900006000007;Haushalt;4.02;11.57;7.53;23.12;4.7;11.57;16.49;32.76;4.7;20;FALSCH
9900008000005;Haushalt;4;11;5.25;20.25;4;11;20.4;35.4;5.78;15;FALSCH
9900009000004;Haushalt;1.75;4.8;6;12.55;1.75;4.8;18;24.55;5.13;15;FALSCH
9900010000001;Haushalt;4.73;10.25;9.6;24.58;7.67;10.25;27.9;45.82;5.25;0;FALSCH
9900013000008;Haushalt;2.35;12;8.65;23;2.35;12;34.45;48.8;6.74;15;FALSCH
9900015000006;Haushalt;5.2;10.4;10;25.6;8;10.4;20;38.4;6.89;0;FALSCH
9900019000002;Haushalt;5;12;8;25;5;12;13.8;30.8;5.34;54;FALSCH
9900021000008;Haushalt;2.4;11.2;9.9;23.5;2.4;11.2;16.2;29.8;5.14;40;FALSCH
9900022000007;Haushalt;5.46;11.45;8.54;25.45;5.46;11.45;31.84;48.75;4.58;15;FALSCH
9900023000006;Haushalt;3.15;11;8.5;22.65;4.95;11;19;34.95;4.66;24;FALSCH
9900024000005;Haushalt;4.6;4.7;5.8;15.1;9.2;9.4;26.2;44.8;4.66;25;FALSCH
9900025000004;Haushalt;1.95;5;7.8;14.75;1.95;5;15.6;22.55;7.29;36;FALSCH
9900026000003;Haushalt;3.04;5.92;11.04;20;3.04;5.92;11.04;20;3.67;8;FALSCH
9900027000002;Haushalt;2.49;15.78;7.7;25.97;2.49;15.78;24.2;42.47;4.88;51.24;FALSCH
9900028000001;Haushalt;1.54;11.43;5.02;17.99;2.46;11.43;13.4;27.29;3.54;49.48;FALSCH
9900030000007;Haushalt;5;12;9.8;26.8;6.9;12.2;19.8;38.9;5.1;26.5;FALSCH
9900031000006;Haushalt;5.16;7.08;8.52;20.76;8.16;11.28;15.72;35.16;6.91;18;FALSCH
9900032000005;Haushalt;3;12;9.84;24.84;4.5;12.2;26.54;43.24;8.34;24.54;FALSCH
9900033000004;Haushalt;1.94;9.12;2.92;13.98;3.89;9.12;5.83;18.84;5.35;0;FALSCH
9900034000003;Haushalt;1.83;6.22;7.59;15.64;3.66;6.22;20.4;30.28;4.02;30;FALSCH
9900035000002;Haushalt;4;10;10;24;4;10;20;34;8.84;14.78;FALSCH
9900036000001;Haushalt;1.9;8.04;8.88;18.82;1.9;8.04;18;27.94;4.74;19.2;FALSCH
9900038000009;Haushalt;4.26;10.56;9.54;24.36;6.82;10.56;32.53;49.91;5.61;27;FALSCH
9900039000008;Haushalt;2.9;7.3;11.6;21.8;5.56;10.2;33.24;49;7.63;54;FALSCH
9900040000005;Haushalt;1.61;13.9;9.15;24.66;1.61;13.9;17.72;33.23;4.42;29.2;FALSCH
9900041000004;Haushalt;5.4;12;9.6;27;5.4;12;18.96;36.36;5.23;22.56;FALSCH
9900042000003;Haushalt;2.15;7.98;8.3;18.43;2.15;7.98;33.4;43.53;7.48;15;FALSCH
9900043000002;Haushalt;2.4;9;8.5;19.9;2.4;9;28;39.4;5.46;15;FALSCH
9900044000001;Haushalt;5.2;6.05;9.21;20.46;8;8.05;19.85;35.9;4.36;25;FALSCH
9900045000000;Haushalt;3;12;9.84;24.84;3.8;12.2;27.24;43.24;6.22;27.5;FALSCH
9900048000007;Haushalt;2.23;11.88;9.2;23.31;2.23;11.88;23.7;37.81;7.86;15;FALSCH
9900049000006;Haushalt;2.4;12;11.7;26.1;2.4;12;26.3;40.7;6.67;30;FALSCH
9900050000003;Haushalt;1.7;11.26;10.03;22.99;2.55;11.43;20.06;34.04;6.28;24.6;FALSCH
9900051000002;Haushalt;4.75;11.5;9.65;25.9;7.6;11.5;19.03;38.13;5.38;20.5;FALSCH
9900053000000;Haushalt;3;7.31;4.31;14.62;4;7.31;23.33;34.64;5.98;15;FALSCH
9900055000008;Haushalt;5;12;14.97;31.97;5;12;33.37;50.37;5.46;22;FALSCH
9900056000007;Haushalt;3.8;12;9.2;25;3.8;12.2;9.7;25.7;5.4;46;FALSCH
9900057000006;Haushalt;2.5;9.2;7.5;19.2;2.5;9.4;17;28.9;6.15;30;WAHR
9900058000005;Haushalt;4.2;11.6;8.4;24.2;5.04;11.6;29.75;46.39;5.61;30;FALSCH
9900059000004;Haushalt;2.87;10.96;9.28;23.11;4.31;11.13;18.56;34;4.86;36;FALSCH
9900061000000;Haushalt;2.5;7.76;9.5;19.76;2.5;7.76;35.7;45.96;6.51;0;FALSCH
9900063000008;Haushalt;4;8;7;19;4.8;8;25.2;38;5.13;0;FALSCH
9900064000007;Haushalt;4.79;11.5;9.21;25.5;8;11.5;20;39.5;5.03;24;FALSCH
9900065000006;Haushalt;3.64;5.83;8.92;18.39;3.64;5.83;11.01;20.48;5.02;30;FALSCH
9900066000005;Haushalt;3.45;7.59;8.06;19.1;3.45;7.59;16.01;27.05;6.28;0;FALSCH
9900070000009;Haushalt;5.2;9.53;10;24.73;8;9.53;20;37.53;4.51;16.22;FALSCH
9900071000008;Haushalt;6.19;12.25;7.05;25.49;6.19;12.25;12.34;30.78;5.59;15;FALSCH
9900074000005;Haushalt;5.2;8.2;10;23.4;8;8.2;20;36.2;4.75;24.5;FALSCH
9900076000003;Haushalt;4.92;12;8.4;25.32;7.32;12;16.92;36.24;5.46;24;FALSCH
9900078000001;Haushalt;2.5;11.3;8.99;22.79;2.5;11.3;25;38.8;5.47;12.5;FALSCH
9900080000007;Haushalt;2.17;9.87;6.34;18.38;2.17;9.87;24.13;36.17;4.56;23.7;FALSCH
9900083000004;Haushalt;4.86;10.5;7.91;23.27;7.29;10.5;30.24;48.03;7.23;20;FALSCH
9900084000003;Haushalt;4;10.27;7.68;21.95;5.6;10.27;10.75;26.62;6.06;15;FALSCH
9900085000002;Haushalt;4.16;12;10;26.16;4.16;12;30.36;46.52;4.94;13.4;FALSCH
9900086000001;Haushalt;2.95;8.47;9.76;21.18;2.95;8.47;25.65;37.07;5.94;0;FALSCH
9900089000008;Haushalt;1.56;9.96;5.04;16.56;3.48;12;15;30.48;6.2;47.58;FALSCH
9900091000004;Haushalt;2.01;12.01;9.34;23.36;2.01;12.01;11.64;25.66;5.35;24;FALSCH
9900094000001;Haushalt;2.52;12.48;8.52;23.52;2.52;12.48;27.72;42.72;6.94;38;FALSCH
9900095000000;Haushalt;1.8;8.9;6;16.7;1.8;8.9;15.5;26.2;4.04;0;FALSCH
9900096000009;Haushalt;2.04;16.86;11.27;30.17;4.08;17.14;42.19;63.41;6.94;24;FALSCH
9900097000008;Haushalt;4.6;12;9.3;25.9;6.9;12;16.5;35.4;4.52;30;WAHR
9900099000006;Haushalt;5.4;10.98;9.35;25.73;5.4;10.98;18.44;34.82;4.81;18;FALSCH
9900100000002;Haushalt;1.7;11.28;9.22;22.2;2.55;11.45;18.45;32.45;6.63;48;FALSCH
9900102000000;Haushalt;2.6;11.5;8.1;22.2;2.6;11.5;13.7;27.8;5.02;20.32;FALSCH
9900107000005;Haushalt;1.95;8;10;19.95;1.95;8;20;29.95;4.56;40;FALSCH
9900108000004;Haushalt;2.55;8.15;7.18;17.88;2.55;8.53;12.16;23.24;5.21;40;FALSCH
9900110000000;Haushalt;6;8.5;7.5;22;8.5;8.5;23;40;5.48;0;FALSCH
9900112000008;Haushalt;6.24;7.08;14.28;27.6;6.24;7.08;28.56;41.88;4.66;15;FALSCH
9900113000007;Haushalt;2.4;15;7.6;25;2.4;15;12.4;29.8;7.99;36;FALSCH
9900114000006;Haushalt;2.8;9.99;5.58;18.37;2.8;9.99;9.99;22.78;5.91;30;FALSCH
9900115000005;Haushalt;1.85;11.92;7.82;21.59;1.85;11.92;29.2;42.97;5.46;15;FALSCH
9900116000004;Haushalt;15.5;10;9.5;35;15.5;10;29.5;55;4.41;0;WAHR
9900117000003;Haushalt;3.6;9.6;6;19.2;3.6;9.6;33;46.2;4.28;24;FALSCH
9900121000007;Haushalt;2.86;11.58;9.78;24.22;4.29;11.75;19.55;35.59;6.18;48;WAHR
9900122000006;Haushalt;1.85;11.92;10.27;24.04;1.85;11.92;33.15;46.92;5.2;25;FALSCH
9900123000005;Haushalt;2.8;11.5;7.3;21.6;2.8;11.5;20;34.3;4.01;20;FALSCH
9900124000004;Haushalt;1.92;8;5.53;15.45;4.35;8;9.1;21.45;5.54;20;FALSCH
9900126000002;Haushalt;2.89;5.81;17.28;25.98;4.47;6.1;30;40.57;4.05;30;FALSCH
9900127000001;Haushalt;2;11.3;9;22.3;2;12.3;21.1;35.4;5.3;39;FALSCH
9900128000000;Haushalt;5.94;13.04;8.98;27.96;9.79;14.92;17.8;42.51;5.86;25;FALSCH
9900129000009;Haushalt;5.2;12;10;27.2;8;12.2;20;40.2;6.4;25;FALSCH
9900130000006;Haushalt;4.32;9.35;8.07;21.74;4.32;9.35;21.26;34.93;5.95;23.1;FALSCH
9900131000005;Haushalt;3.5;10.8;6.5;20.8;4.44;10.8;10.35;25.59;5.71;7.69;FALSCH
9900132000004;Haushalt;2.4;8.1;4.8;15.3;2.4;8.1;15.3;25.8;4.58;24;FALSCH
9900133000003;Haushalt;5.16;10.98;9.84;25.98;7.44;10.98;34.44;52.86;5.97;19.92;FALSCH
9900134000002;Haushalt;2.16;12.06;12.38;26.6;2.16;12.06;24.76;38.98;4.65;38;FALSCH
9900135000001;Haushalt;1.25;10.15;9.92;21.32;1.87;10.3;19.84;32.01;4.97;36;FALSCH
9900136000000;Haushalt;5;10.27;8.91;24.18;8;11.34;22.28;41.62;5.65;0;FALSCH
9900137000009;Haushalt;3;14.64;7;24.64;3;14.64;15;32.64;5.68;44.4;FALSCH
9900138000008;Haushalt;2.4;9.9;3.25;15.55;2.4;9.9;13;25.3;5.3;20;FALSCH
9900140000004;Haushalt;3.8;14.9;7.8;26.5;7.6;19.9;27.1;54.6;6.98;47.58;FALSCH
9900141000003;Haushalt;3.69;11.2;7.11;22;8;11.2;20;39.2;6.45;53;FALSCH
9900142000002;Haushalt;4.2;12;9.57;25.77;4.8;12.2;26.56;43.56;4.62;24;FALSCH
9900143000001;Haushalt;3.2;11;8.2;22.4;4.2;11;28.4;43.6;6.87;24.5;FALSCH
9900144000000;Haushalt;2;10;7.7;19.7;2;10;17.7;29.7;3.26;0;WAHR
9900146000008;Haushalt;5.2;11.75;9.55;26.5;8;12.2;19.85;40.05;3.08;25;FALSCH
9900147000007;Haushalt;7.2;14.64;9.84;31.68;7.2;14.64;19.56;41.4;6.54;45;FALSCH
9900148000006;Haushalt;3.62;10.7;8.78;23.1;3.62;10.7;35.77;50.09;4.3;22.5;FALSCH
9900153000009;Haushalt;3.57;11.72;6.93;22.22;7.42;11.72;24;43.14;4.61;0;FALSCH
9900154000008;Haushalt;3.27;10.73;5.87;19.87;3.27;10.73;12.01;26.01;4.36;36;FALSCH
9900155000007;Haushalt;3.6;9;9;21.6;3.6;9;22.5;35.1;5.98;25;FALSCH
9900156000006;Haushalt;4.96;10.6;9.54;25.1;7.83;10.6;19.57;38;6.7;24.54;FALSCH
9900157000005;Haushalt;5.15;9.9;9.55;24.6;7.5;9.9;14.2;31.6;6.07;19;FALSCH
9900163000007;Haushalt;2.4;12;7.8;22.2;3.6;12;21.4;37;2.87;62;FALSCH
9900164000006;Haushalt;2.4;9.75;9.6;21.75;3.6;9.75;21;34.35;5.47;15;FALSCH
9900165000005;Haushalt;3.84;10.98;9;23.82;5.76;18.3;29.76;53.82;5.47;30;FALSCH
9900167000003;Haushalt;3;14;7;24;4;14;34;52;5.54;20;FALSCH
9900170000008;Haushalt;2.15;11.92;8.22;22.29;2.15;11.92;30.3;44.37;6.18;15;FALSCH
9900171000007;Haushalt;4.67;9.42;8.01;22.1;7;9.42;14.58;31;5.82;15;FALSCH
9900172000006;Haushalt;2.52;10.92;6.84;20.28;3.84;11.88;14.64;30.36;4.88;36.6;FALSCH
9900175000003;Haushalt;1.29;10.2;7.3;18.79;1.93;10.35;14.6;26.88;3.97;24;FALSCH
9900176000002;Haushalt;2.4;9.9;7.9;20.2;2.4;9.9;16.05;28.35;5.84;36;FALSCH
9900179000009;Haushalt;5.1;10.8;9;24.9;5.1;10.8;21;36.9;5.3;18;FALSCH
9900180000006;Haushalt;3.05;14.9;8.7;26.65;3.05;14.9;13.35;31.3;5.43;48;FALSCH
9900185000001;Haushalt;4.2;12;7.8;24;4.2;12;18;34.2;5.19;32.4;FALSCH
9900186000000;Haushalt;2;10.78;9.57;22.35;3.01;10.94;19.15;33.1;7;24.5;WAHR
9900187000009;Haushalt;3.5;12.98;7;23.48;3.5;12.98;13.62;30.1;6.35;20;FALSCH
9900188000008;Haushalt;5.2;9.6;10;24.8;8;9.6;20;37.6;5.26;24.54;FALSCH
9900190000004;Haushalt;4;12;8;24;6.4;12;15.8;34.2;4.83;16.74;FALSCH
9900191000003;Haushalt;5.2;9.94;7.79;22.93;8.54;9.94;10.21;28.69;4.9;18;FALSCH
9900196000008;Haushalt;3.16;12.5;9.86;25.52;4.74;12.5;19.72;36.96;6.49;48;WAHR
9900200000001;Haushalt;3;10;6;19;6;10;18;34;4.18;20;FALSCH
9900201000000;Haushalt;4.53;8;8.42;20.95;8.25;8;19.25;35.5;5.69;15;FALSCH
9900202000009;Haushalt;1.85;11.92;10.27;24.04;1.85;11.92;33.15;46.92;7.04;16;FALSCH
9900205000006;Haushalt;3.5;9.6;9.8;22.9;3.5;9.6;34.3;47.4;6.2;24;FALSCH
9900206000005;Haushalt;2.7;15;7.91;25.61;2.7;15;21.21;38.91;4.77;24;FALSCH
9900207000004;Haushalt;5.8;8.6;10.5;24.9;5.8;8.6;24.5;38.9;5.36;29.6;FALSCH
9900208000003;Haushalt;4.2;14;8.9;27.1;4.2;14;22.8;41;6.52;35.4;FALSCH
9900209000002;Haushalt;5.14;12;12.68;29.82;6.89;12.2;36.74;55.83;5.22;30;FALSCH
9900210000009;Haushalt;4.8;11.4;9;25.2;4.8;11.4;28.8;45;7.25;49.2;FALSCH
9900211000008;Haushalt;2.27;7.37;5.96;15.6;2.27;7.37;20.34;29.98;5.51;0;FALSCH
9900214000005;Haushalt;3.1;8;6.3;17.4;3.1;8;29.73;40.83;5.29;24;FALSCH
9900216000003;Haushalt;5;11.31;9;25.31;0;0;0;0;4.69;20;FALSCH
9900219000000;Haushalt;3.6;15;7.5;26.1;3.6;15;19.19;37.79;5.7;0;FALSCH
9900220000007;Haushalt;3.84;12;9;24.84;7.2;12.2;18.66;38.06;5.92;48;FALSCH
9900221000006;Haushalt;1.78;14.4;6.19;22.37;1.78;14.4;17.35;33.53;4.6;36.6;FALSCH
9900223000004;Haushalt;1.8;5.16;4.32;11.28;1.8;5.16;23.52;30.48;6.89;30;FALSCH
9900224000003;Haushalt;4.2;9;7.8;21;4.2;9;16.8;30;5.41;24;FALSCH
9900225000002;Haushalt;3.02;9.64;4.88;17.54;6.03;11.56;20.51;38.1;6.16;0;FALSCH
9900227000000;Haushalt;4.7;13.4;10.35;28.45;5.2;13.6;19.8;38.6;5.73;0;FALSCH
9900229000008;Haushalt;3.9;14;9;26.9;4.5;14;35;53.5;4.17;60;FALSCH
9900231000004;Haushalt;3.8;12;9.04;24.84;4.5;12.2;26.54;43.24;9.9;24;FALSCH
9900232000003;Haushalt;3.4;11.31;5.6;20.31;3.4;11.31;27.7;42.41;7.75;18;FALSCH
9900235000000;Haushalt;2.4;9.75;8.5;20.65;3.6;9.75;21;34.35;4.17;24;FALSCH
9900239000006;Haushalt;2.4;12;5.25;19.65;2.4;12;15;29.4;4.78;12;WAHR
9900242000001;Haushalt;1.11;10.54;8.66;20.31;1.11;10.54;8.66;20.31;4.44;30;FALSCH
9900243000000;Haushalt;5;11;8.5;24.5;8;12;20.5;40.5;6.66;24;FALSCH
9900244000009;Haushalt;3.93;8.21;10.85;22.99;7.86;9.85;19.02;36.73;5.74;25;FALSCH
9900245000008;Haushalt;5.5;18.4;7;30.9;0;0;0;0;4.66;9.2;FALSCH
9900247000006;Haushalt;4.19;9.45;7.77;21.41;6.72;10.31;18.15;35.18;5.88;0;FALSCH
9900248000005;Haushalt;2.1;12;7.95;22.05;2.1;12;9.8;23.9;5.18;29.2;FALSCH
9900249000004;Haushalt;2.4;9.5;8.5;20.4;3.6;9.5;21;34.1;3.93;24;FALSCH
9900251000000;Haushalt;1.55;10.49;9;21.04;2.33;10.65;17.99;30.97;5.08;36;FALSCH
9900254000007;Haushalt;4.23;11.87;9.14;25.24;7.17;12.18;33.45;52.8;5.49;25;FALSCH
9900256000005;Haushalt;3.7;12.5;8.4;24.6;3.7;12.5;20.2;36.4;5.81;30;FALSCH
9900257000004;Haushalt;4.5;9;9;22.5;5.5;9;13;27.5;6.04;15;FALSCH
9900258000003;Haushalt;4.32;10.2;13.68;28.2;4.32;10.2;27.96;42.48;5.48;35;FALSCH
9900259000002;Haushalt;2.42;9.19;8.78;20.39;2.42;9.19;27.93;39.54;5.28;24;FALSCH
9900261000008;Haushalt;1.82;11.23;7.8;20.85;1.82;11.23;22.2;35.25;5.42;20;FALSCH
9900262000007;Haushalt;4.6;15.2;10.2;30;4.6;15.2;35;54.8;3.99;28.2;FALSCH
9900269000000;Haushalt;2.47;16.09;9.94;28.5;3.59;16.09;21.11;40.79;5.15;6.3;FALSCH
9900270000007;Haushalt;4.21;11;10.49;25.7;8.42;11;20.98;40.4;5.65;24;FALSCH
9900271000006;Haushalt;2.7;8;8.13;18.83;2.7;8;31.03;41.73;6.4;0;FALSCH
9900272000005;Haushalt;5;8;2.8;15.8;15;10;6.7;31.7;5.17;0;FALSCH
9900273000004;Haushalt;4.2;12;9.57;25.77;4.8;12.2;26.56;43.56;5.99;24.54;FALSCH
9900274000003;Haushalt;3;10.66;8.63;22.29;4.38;12.37;18.01;34.76;4.82;0;FALSCH
9900275000002;Haushalt;1.4;7.28;8.84;17.52;0;0;0;0;4.35;30;FALSCH
9900277000000;Haushalt;2.03;8.01;10.98;21.02;2.03;8.01;15.89;25.93;5.01;15;FALSCH
9900278000009;Haushalt;1.82;7.83;9.24;18.89;3.6;7.83;15.96;27.39;5.47;29.85;FALSCH
9900279000008;Haushalt;3.7;10.84;8.95;23.49;3.7;10.84;13.36;27.9;7.27;0;FALSCH
9900280000005;Haushalt;2.69;8.37;6.21;17.27;2.69;8.37;7.15;18.21;5.64;0;FALSCH
9900281000004;Haushalt;4.2;12;9.57;25.77;4.8;12;26.56;43.36;6.49;24;FALSCH
9900283000002;Haushalt;2.5;10.9;10;23.4;2.9;10.9;20;33.8;8.46;27.61;FALSCH
9900285000000;Haushalt;1.6;11.52;9.62;22.74;2.39;11.69;19.24;33.32;5.03;25;FALSCH
9900286000009;Haushalt;1.8;7.8;7.8;17.4;1.8;7.8;16.2;25.8;5.88;30;FALSCH
9900287000008;Haushalt;5.2;11.98;9.2;26.38;8;12.2;18.8;39;5.32;25;FALSCH
9900291000002;Haushalt;3.99;11.87;10;25.86;3.99;11.87;32;47.86;5.77;24;FALSCH
9900292000001;Haushalt;4.76;10.9;9.14;24.8;8;10.9;20;38.9;4.78;72;FALSCH
9900293000000;Haushalt;2.43;10.29;8.67;21.39;3.3;10.29;29.66;43.25;4.68;40;FALSCH
9900295000008;Haushalt;3.11;12;5.79;20.9;3.83;12;8.94;24.77;7.21;0;FALSCH
9900298000005;Haushalt;3.91;11.31;9.04;24.26;4.51;12.24;21.12;37.87;5.16;24;FALSCH
9900299000004;Haushalt;3.87;4.03;6.82;14.72;5.95;4.03;13.64;23.62;3.95;10;FALSCH
9900300000000;Haushalt;2.4;16.9;9.6;28.9;2.4;16.9;19;38.3;9.31;36;WAHR
9900302000008;Haushalt;4.23;8;7.85;20.08;8;8;20.79;36.79;4.84;14.85;WAHR
9900304000006;Haushalt;3.59;8.27;11.04;22.9;8.4;9.45;19.6;37.45;5.85;18;FALSCH
9900307000003;Haushalt;2.4;9;8.1;19.5;2.4;9;19.5;30.9;4.77;24;FALSCH
9900308000002;Haushalt;5;10;9;24;7;12;14;33;5.69;53;FALSCH
9900309000001;Haushalt;5.04;12.34;13.68;31.06;6.26;16.04;17.77;40.07;6.81;36;FALSCH
9900310000008;Haushalt;2.49;12.07;7.2;21.76;3.89;12.07;18.47;34.43;5.57;15;FALSCH
9900313000005;Haushalt;4.27;8.48;8.88;21.63;4.27;8.62;31.08;43.97;4.99;15;FALSCH
9900314000004;Haushalt;2.5;12.5;7.2;22.2;4;13.5;18;35.5;4.43;36;FALSCH
9900317000001;Haushalt;2.5;8;6.37;16.87;2.5;8;11.59;22.09;6.02;0;FALSCH
9900318000000;Haushalt;3.48;10.44;8.76;22.68;5.04;11.88;18.24;35.16;5.66;15.6;FALSCH
9900319000009;Haushalt;2.9;12;9.8;24.7;2.9;12;34.3;49.2;5.3;15;FALSCH
9900320000006;Haushalt;3.8;12;9.04;24.84;4.5;12.2;28.54;45.24;5.33;48;WAHR
9900321000005;Haushalt;5.2;12.2;8.35;25.75;8;12.2;24.19;44.39;5.16;21.5;FALSCH
9900323000003;Haushalt;4.95;12;10;26.95;4.95;12;35;51.95;5.14;15;WAHR
9900327000009;Haushalt;3.71;7.05;9.05;19.81;5.7;7.05;18.1;30.85;4.8;18;FALSCH
9900328000008;Haushalt;4.06;13.1;7.17;24.33;6.24;15.28;14.34;35.86;4.97;35;FALSCH
9900330000004;Haushalt;2.64;10.92;7.56;21.12;2.64;10.92;20.52;34.08;5.46;54;FALSCH
9900332000002;Haushalt;3.2;15.65;7.1;25.95;3.2;15.65;17.64;36.49;5.33;49;FALSCH
9900334000000;Haushalt;3.61;11.1;6.44;21.15;3.99;13.21;30.77;47.97;5.48;25;FALSCH
9900336000008;Haushalt;3.29;9.52;2.45;15.26;3.29;9.52;12.24;25.05;4.95;49;FALSCH
9900337000007;Haushalt;0.99;6.4;15.01;22.4;0.99;6.4;38.16;45.55;5.46;24;FALSCH
9900339000005;Haushalt;6;8;9.63;23.63;8;8;15.54;31.54;4.28;42.6;FALSCH
