verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
9900784000006;Haushalt;1.68;11.88;7.14;20.7;1.68;11.88;9.88;23.44;7.05;24;FALSCH
9900786000004;Haushalt;2.5;12;7;21.5;2.5;12.2;16.3;31;3.5;30.6;FALSCH
9900788000002;Haushalt;2;11.75;6.85;20.6;2;11.75;34.15;47.9;6.92;35.04;FALSCH
9900789000001;Haushalt;1.77;13.46;11.16;26.39;1.77;13.46;33.97;49.2;4.74;40;FALSCH
9900790000008;Haushalt;4.1;11.31;7.3;22.71;4.1;11.31;32.06;47.47;6.36;15;FALSCH
9900791000007;Haushalt;3.48;5.62;6.47;15.57;3.48;5.62;9.78;18.88;6.06;0;FALSCH
9900792000006;Haushalt;1.45;11.9;4.65;18;2.85;12.14;17.2;32.19;5.62;0;FALSCH
9900793000005;Haushalt;2.19;10.6;8.5;21.29;2.19;10.6;21.12;33.91;7.97;0;FALSCH
9900794000004;Haushalt;3.12;11.51;8.4;23.03;5.71;11.51;23.54;40.76;4.59;7;FALSCH
9900795000003;Haushalt;3.13;7.17;9.2;19.5;4.7;7.17;20.73;32.6;5.84;6.98;FALSCH
9900796000002;Haushalt;4.37;11.05;8.99;24.41;4.37;12.05;21.05;37.47;6.11;22.56;FALSCH
9900797000001;Haushalt;3.3;14.2;8.5;26;5.7;19.3;28.2;53.2;6.51;47.58;FALSCH
9900798000000;Haushalt;1.08;12;4.52;17.6;1.08;12.2;23.04;36.32;5.81;18.64;FALSCH
9900799000009;Haushalt;2.16;14.31;8.64;25.11;2.16;14.31;20.19;36.66;5.95;36;WAHR
9900800000005;Haushalt;3.3;14.4;9.8;27.5;3.3;14.4;22.9;40.6;5.17;20;FALSCH
9900875000006;Haushalt;2.45;7.89;8.55;18.89;2.45;7.89;32.35;42.69;7.66;25;FALSCH
9900909000005;Haushalt;3.02;10;3.69;16.71;5.85;10;10.6;26.45;4.1;13;FALSCH
9900911000001;Haushalt;1.32;14.52;8.16;24;1.44;14.52;15.72;31.68;5.5;24.19;FALSCH
9900912000000;Haushalt;0.88;12.33;7.89;21.1;0.88;12.33;10.87;24.08;4.1;23.85;FALSCH
9900913000009;Haushalt;1.8;12.02;5.5;19.32;1.8;12.02;24.02;37.84;6.57;24.5;FALSCH
9900915000007;Haushalt;1.85;9.55;5.9;17.3;1.85;9.55;20.3;31.7;5.26;27.37;FALSCH
9900921000009;Haushalt;1.95;12.34;8.87;23.16;1.95;12.34;29.05;43.34;7.06;20;FALSCH
9900922000008;Haushalt;1.71;9.57;7.77;19.05;1.71;9.65;18.55;29.91;5.09;20;FALSCH
9900923000007;Haushalt;1.75;13.8;7.84;23.39;4.8;14.4;18.3;37.5;6.9;29.28;FALSCH
9900924000006;Haushalt;2.4;12.5;7.17;22.07;4.2;12.5;24.86;41.56;6.72;25.25;FALSCH
9900925000005;Haushalt;1.95;10.92;8.68;21.55;1.95;10.92;31;43.87;5.88;17.53;FALSCH
9900926000004;Haushalt;2.4;10.5;8.5;21.4;3.6;10.5;21;35.1;4.76;27;FALSCH
9900927000003;Haushalt;2.4;13.56;7.8;23.76;4.2;14.88;32.4;51.48;4.82;20;FALSCH
9900928000002;Haushalt;2;12.5;7;21.5;2;12.5;8.5;23;6.9;24;FALSCH
9900929000001;Haushalt;2.4;8.5;8.5;19.4;3.6;8.5;21;33.1;6.93;0;FALSCH
9900930000008;Haushalt;3.7;6.9;8.55;19.15;3.7;6.9;12.5;23.1;5.08;24.9;FALSCH
9900931000007;Haushalt;3.65;11.31;6.15;21.11;3.65;11.31;29.38;44.34;6.38;20;FALSCH
9900932000006;Haushalt;1.4;10.5;5.6;17.5;1.4;10.5;17.8;29.7;4.39;38.5;FALSCH
9900933000005;Haushalt;3.71;11.31;6.7;21.72;3.71;11.31;30.66;45.68;6.05;36;FALSCH
9900934000004;Haushalt;1.8;19.54;6.6;27.94;3.6;19.54;17.76;40.9;5.78;25;FALSCH
9900936000002;Haushalt;3.44;11.31;6.1;20.85;3.44;11.31;29.26;44.01;5.65;24;FALSCH
9900938000000;Haushalt;2.88;15;8.76;26.64;5.76;15;22.26;43.02;7.25;48;FALSCH
9900939000009;Haushalt;2;11.8;6.5;20.3;3.9;16.4;25.4;45.7;5.97;54.9;FALSCH
9900941000005;Haushalt;3.5;11;8.5;23;3.5;12;20;35.5;4.37;18;FALSCH
9900942000004;Haushalt;3;10.4;6.6;20;3;10.4;19.46;32.86;6.94;33;FALSCH
9900944000002;Haushalt;4.2;12;9;25.2;4.2;12;19.2;35.4;6.61;30;FALSCH
9900947000009;Haushalt;1.44;12;8.4;21.84;1.44;12;16.44;29.88;5.98;22.3;FALSCH
9900948000008;Haushalt;0.9;11.25;3.06;15.21;1.2;11.25;9.12;21.57;6.14;4.8;FALSCH
9900949000007;Haushalt;1.85;11.42;8.35;21.62;1.85;11.42;30.9;44.17;6.27;25;FALSCH
9900950000004;Haushalt;3.2;11.84;8.05;23.09;3.2;11.84;50.58;65.62;7.61;20.87;FALSCH
9900951000003;Haushalt;1.8;12;9.6;23.4;1.8;12;21.6;35.4;5.74;35;FALSCH
