PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
86465;Heretsried. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86856;Hiltenfingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86497;Horgau. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.23;9900027000002
86507;Kleinaitingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86836;Klosterlechfeld. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86343;Königsbrunn. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.59;9900027000002
86707;Kühlenthal. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86500;Kutzenhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86863;Langenneufnach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86853;Langerringen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86462;Langweid. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86405;Meitingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86866;Mickhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86868;Mittelneufnach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86356;Neusäß. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86695;Nordendorf. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86507;Oberottmarshausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86872;Scherstetten. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86830;Schwabmünchen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86391;Stadtbergen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86672;Thierhaupten. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86836;Untermeitingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86514;Ustersbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86877;Walkertshofen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86517;Wehringen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86465;Welden. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86707;Westendorf. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86441;Zusmarshausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89344;Aislingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89429;Bachhagel. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89431;Bächingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
86637;Binswangen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86657;Bissingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89434;Blindheim. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86647;Buttenwiesen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
